GaiaDR3;Cluster;Pmemb;Note;RA_ICRS;DE_ICRS;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Gmag;BPmag;RPmag;Gmagcor;(G-RP)cor;_RA.icrs;_DE.icrs
2054154597078715520;   HE_40; 0.99;  N;303.3686;+32.1016;-3.847; 0.021; -5.391; 0.024; 0.451; 0.024;15.401;16.166;14.525;15.402; 0.876;303.3686;+32.1016
2054154803237146880;   HE_40; 0.99;  N;303.3712;+32.1071;-3.881; 0.027; -5.312; 0.032; 0.459; 0.031;15.987;16.790;15.042;15.850; 0.909;303.3712;+32.1071
2054154592776100224;   HE_40; 0.93;  N;303.3733;+32.1035;-3.667; 0.097; -5.360; 0.121; 0.430; 0.112;18.241;19.533;17.160;18.104; 1.045;303.3733;+32.1035
2054162328019910528;   HE_40; 0.69;  N;303.3739;+32.2115;-3.764; 0.036; -5.422; 0.044; 0.543; 0.041;16.481;17.338;15.556;16.513; 0.933;303.3739;+32.2115
2054160678752411904;   HE_40; 0.78;  N;303.3745;+32.1208;-4.072; 0.074; -5.416; 0.107; 0.492; 0.091;17.890;18.832;16.710;17.927; 1.189;303.3745;+32.1208
2054160678752410624;   HE_40; 0.99;  N;303.3755;+32.1208;-3.813; 0.016; -5.261; 0.019; 0.481; 0.019;14.792;15.610;13.881;14.829; 0.921;303.3755;+32.1208
2054160674449895552;   HE_40; 0.99;  N;303.3775;+32.1294;-3.906; 0.045; -5.269; 0.055; 0.473; 0.053;16.995;18.084;15.962;17.055; 1.049;303.3775;+32.1294
2054160708809647488;   HE_40; 0.99;  N;303.3813;+32.1328;-3.889; 0.025; -5.249; 0.030; 0.473; 0.030;15.822;16.641;14.902;15.805; 0.916;303.3813;+32.1328
2054162431099133056;   HE_40; 0.97;  N;303.3816;+32.2333;-3.934; 0.058; -5.335; 0.070; 0.488; 0.070;17.391;18.664;16.283;17.544; 1.148;303.3816;+32.2333
2054162323717649408;   HE_40; 0.97;  N;303.3823;+32.2075;-3.993; 0.060; -5.499; 0.070; 0.421; 0.070;17.511;18.584;16.502;17.544; 1.018;303.3823;+32.2075
2054160713112151808;   HE_40; 0.99;  N;303.3841;+32.1372;-3.841; 0.032; -5.432; 0.038; 0.464; 0.038;16.355;17.363;15.345;16.373; 1.015;303.3841;+32.1372
2054945279074298624;   HE_40; 0.62;  N;303.3856;+32.5874;-3.491; 0.110; -5.328; 0.129; 0.425; 0.130;18.253;19.194;17.307;18.542; 1.020;303.3856;+32.5874
2054165523475601920;   HE_40; 0.93;  N;303.3889;+32.2688;-4.001; 0.048; -5.401; 0.051; 0.452; 0.053;16.826;17.763;15.862;16.991; 1.006;303.3889;+32.2688
2054167104023583232;   HE_40; 0.62;  N;303.3913;+32.2988;-3.399; 0.048; -5.460; 0.052; 0.410; 0.051;16.804;17.687;15.867;16.967; 0.978;303.3913;+32.2988
2054160403874486400;   HE_40; 0.84;  N;303.3918;+32.1044;-4.093; 0.041; -5.509; 0.049; 0.454; 0.047;16.777;17.772;15.792;16.723; 0.971;303.3918;+32.1044
2074680069687552640;CWNU_106; 0.65;  N;303.3934;+42.0901;-2.233; 0.070; -3.715; 0.067; 0.552; 0.061;17.385;18.096;16.570;17.422; 0.824;303.3934;+42.0901
2054943359236727424;   HE_40; 0.91;  N;303.4023;+32.4801;-3.961; 0.038; -5.281; 0.041; 0.485; 0.040;16.371;17.099;15.524;16.660; 0.921;303.4023;+32.4801
2054160850551102080;   HE_40; 0.99;  N;303.4026;+32.1573;-3.816; 0.046; -5.253; 0.058; 0.472; 0.053;17.036;18.068;16.013;17.069; 1.032;303.4026;+32.1573
2074648669192441344;CWNU_106; 0.77;  N;303.4029;+41.5960;-2.066; 0.078; -3.105; 0.077; 0.585; 0.073;17.625;18.839;16.549;17.493; 1.042;303.4029;+41.5960
2054162087494438272;   HE_40; 0.99;  N;303.4050;+32.1944;-3.877; 0.119; -5.385; 0.148; 0.432; 0.130;18.511;19.583;17.427;18.544; 1.093;303.4050;+32.1944
2080736390190763008;CWNU_106; 0.61;  N;303.4069;+42.4265;-2.528; 0.200; -3.775; 0.180; 0.522; 0.157;18.777;19.873;17.751;18.455; 0.943;303.4069;+42.4265
